"PT_IDX","PT_NAME","PT_CATEGORY","PT_IMAGE","PT_CONTENT","PT_WRITER","PT_HIDDEN"
252,"행잉 니 레이즈","복근","","","",0
253,"복근 크런치 머신","복근","","","",0
254,"행 클린","복근","","","",0
255,"행 스내치","복근","","","",0
256,"필라테스 잭나이프","복근","","","",0
257,"리버스 크런치","복근","","","",0
258,"사이드 플랭크","복근","","","",0
259,"45도 사이드 벤드","복근","","","",0
260,"RKC 플랭크","복근","","","",0
261,"케이블 사이드 벤드","복근","","","",0
262,"디클라인 크런치","복근","","","",0
263,"중량 디클라인 크런치","복근","","","",0
264,"디클라인 리버스 크런치","복근","","","",0
265,"디클라인 싯업","복근","","","",0
266,"중량 디클라인 싯업","복근","","","",0
267,"사이드 크런치","복근","","","",0
268,"케이블 트위스트","복근","","","",0
269,"쓰러스터","기타","","","",0
270,"버피","기타","","","",0
271,"케틀벨 스윙","기타","","","",0
272,"파머스 워크","기타","","","",0
273,"월볼 샷","기타","","","",0
274,"마운틴 클라이머","기타","","","",0
275,"박스 점프","기타","","","",0
276,"점핑 잭","기타","","","",0
277,"바 머슬업","기타","","","",0
278,"링 머슬업","기타","","","",0
279,"배틀링 로프","기타","","","",0
280,"덤벨 버피","기타","","","",0
281,"덤벨 쓰러스터","기타","","","",0
282,"인치웜","기타","","","",0
283,"스모 데드리프트 하이풀","기타","","","",0
284,"케틀벨 스모 하이풀","기타","","","",0
285,"터키쉬 겟업","기타","","","",0
286,"트레드밀","유산소","","","",0
287,"싸이클","유산소","","","",0
288,"로잉 머신","유산소","","","",0
289,"계단 오르기","유산소","","","",0
290,"줄넘기","유산소","","","",0
291,"이단 뛰기","유산소","","","",0
292,"하이니 스킵","유산소","","","",0
293,"어썰트 바이크","유산소","","","",0
294,"스텝밀","유산소","","","",0
295,"일립티컬 머신","유산소","","","",0
296,"걷기","유산소","","","",0
297,"달리기","유산소","","","",0
126,"케이블 인터널 로테이션","어깨","","","",0
135,"인클라인 덤벨 벤치프레스","가슴","","","",1
144,"중량 푸시업","가슴","","","",1
150,"펙덱 플라이 머신","가슴","","","",1
156,"스포토 벤치프레스","가슴","","","",1
164,"디클라인 체스트 프레스 머신","가슴","","","",1
174,"덤벨 해머 컬","팔","","","",0
179,"이지바 리스트 컬","팔","","","",0
